revision,case,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,promoted/op,refresh-ms/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
after,writable-hits=50/warm=false/delayed=false/workers=1,2337077.0,3862.0,512.0,1094051.0,36.0,114.0,55.0,1024.0,9636778.0,750.0,1000.0,16708.0,64.0,512.0,9.629,1641191.0,55.0,0.9992,512.0,547140.0,19.0
after,writable-hits=50/warm=false/delayed=false/workers=2,3306322.0,3963.0,512.0,1553226.0,50.33,120.7,86.0,1024.0,7559653.0,833.0,1583.0,18791.0,64.0,512.0,7.55,2613216.0,86.0,0.9837,512.0,1059990.0,35.67
after,writable-hits=50/warm=false/delayed=false/workers=4,3601746.0,4192.0,512.0,1446440.0,47.0,171.3,82.0,1024.0,8298194.0,1000.0,4833.0,44334.0,64.0,512.0,8.283,2442744.0,82.0,0.8277,512.0,996304.0,35.0
after,writable-hits=50/warm=false/delayed=true/workers=1,2656101.0,3888.0,512.0,1094051.0,36.0,114.0,55.0,1024.0,14348180.0,750.0,1042.0,15416.0,64.0,512.0,14.34,1641191.0,55.0,0.9995,512.0,547140.0,19.0
after,writable-hits=50/warm=false/delayed=true/workers=2,3411376.0,3966.0,512.0,1628351.0,53.33,116.3,90.33,1024.0,11913486.0,750.0,2334.0,18125.0,64.0,512.0,11.9,2720482.0,90.33,0.9885,512.0,1092131.0,37.0
after,writable-hits=50/warm=false/delayed=true/workers=4,3245232.0,4022.0,512.0,1639217.0,54.0,127.7,95.0,1024.0,10235764.0,667.0,1084.0,16000.0,64.0,512.0,10.23,2796022.0,95.0,0.5877,512.0,1156805.0,41.0
after,writable-hits=50/warm=true/delayed=false/workers=1,2327522.0,3811.0,512.0,0.0,0.0,163.3,0.0,1024.0,8109222.0,500.0,708.0,12209.0,64.0,512.0,8.104,0.0,0.0,0.9993,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=false/workers=2,3294754.0,3897.0,512.0,0.0,0.0,197.3,0.0,1024.0,11276334.0,709.0,1209.0,16833.0,64.0,512.0,11.27,0.0,0.0,0.9926,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=false/workers=4,4181421.0,4216.0,512.0,0.0,0.0,322.7,0.0,1024.0,19226695.0,625.0,13667.0,84834.0,64.0,512.0,19.22,0.0,0.0,0.8179,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=true/workers=1,2803477.0,3851.0,512.0,0.0,0.0,162.7,0.0,1024.0,15809569.0,583.0,1750.0,19375.0,64.0,512.0,15.8,0.0,0.0,0.9991,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=true/workers=2,3791192.0,3911.0,512.0,0.0,0.0,198.7,0.0,1024.0,19044695.0,708.0,1166.0,17750.0,64.0,512.0,19.04,0.0,0.0,0.9959,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=true/workers=4,3847765.0,4262.0,512.0,0.0,0.0,340.3,0.0,1024.0,12415347.0,667.0,10875.0,31500.0,64.0,512.0,12.41,0.0,0.0,0.9796,512.0,0.0,0.0
after,writable-hits=100/warm=false/delayed=false/workers=1,1486472.0,3792.0,0.0,0.0,0.0,130.0,36.0,1024.0,1892694.0,792.0,1167.0,19792.0,64.0,0.0,1.884,1094051.0,36.0,0.9948,1024.0,1094051.0,36.0
after,writable-hits=100/warm=false/delayed=false/workers=2,1535320.0,3840.0,0.0,0.0,0.0,120.3,60.67,1024.0,1397722.0,750.0,1500.0,15125.0,64.0,0.0,1.389,1852786.0,60.67,0.9856,1024.0,1852786.0,60.67
after,writable-hits=100/warm=false/delayed=false/workers=4,1633024.0,3958.0,0.0,0.0,0.0,117.0,90.33,1024.0,1204375.0,875.0,14833.0,36083.0,64.0,0.0,1.194,2793923.0,90.33,0.9514,1024.0,2793923.0,90.33
after,writable-hits=100/warm=false/delayed=true/workers=1,1486778.0,3805.0,0.0,0.0,0.0,130.0,36.0,1024.0,3758653.0,500.0,708.0,11667.0,64.0,0.0,3.752,1094051.0,36.0,0.9979,1024.0,1094051.0,36.0
after,writable-hits=100/warm=false/delayed=true/workers=2,1536237.0,3849.0,0.0,0.0,0.0,112.0,69.0,1024.0,3905500.0,833.0,1250.0,19333.0,64.0,0.0,3.894,2119749.0,69.0,0.9909,1024.0,2119749.0,69.0
after,writable-hits=100/warm=false/delayed=true/workers=4,1632322.0,3984.0,0.0,0.0,0.0,74.33,137.7,1024.0,3324833.0,708.0,1291.0,20125.0,64.0,0.0,3.317,4201065.0,137.7,0.9862,1024.0,4201065.0,137.7
after,writable-hits=100/warm=true/delayed=false/workers=1,1452269.0,3737.0,0.0,0.0,0.0,153.3,0.0,1024.0,1315195.0,791.0,1167.0,18458.0,64.0,0.0,1.307,0.0,0.0,0.9928,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=false/workers=2,1474856.0,3747.0,0.0,0.0,0.0,159.7,0.0,1024.0,653903.0,750.0,1709.0,19542.0,64.0,0.0,0.6449,0.0,0.0,0.9499,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=false/workers=4,1544170.0,3808.0,0.0,0.0,0.0,172.3,0.0,1024.0,452625.0,500.0,2292.0,43792.0,64.0,0.0,0.4452,0.0,0.0,0.8715,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=true/workers=1,1452320.0,3732.0,0.0,0.0,0.0,155.0,0.0,1024.0,1074417.0,625.0,1083.0,21917.0,64.0,0.0,1.066,0.0,0.0,0.9941,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=true/workers=2,1474629.0,3747.0,0.0,0.0,0.0,160.3,0.0,1024.0,682542.0,791.0,1167.0,19834.0,64.0,0.0,0.6731,0.0,0.0,0.9615,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=true/workers=4,1502872.0,3769.0,0.0,0.0,0.0,160.3,0.0,1024.0,405083.0,542.0,2000.0,31208.0,64.0,0.0,0.398,0.0,0.0,0.866,1024.0,0.0,0.0
