revision,case,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,promoted/op,refresh-ms/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
after,writable-hits=0/warm=true/delayed=false/workers=2,4027258.0,3929.0,1024.0,0.0,0.0,151.0,0.0,1024.0,23768653.0,1625.0,3292.0,38917.0,64.0,1024.0,23.75,0.0,0.0,0.9912,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=false/workers=4,4311304.0,3960.0,1024.0,0.0,0.0,151.0,0.0,1024.0,23406472.0,2125.0,4125.0,38417.0,64.0,1024.0,23.38,0.0,0.0,0.9113,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=true/workers=1,2376328.0,3840.0,1024.0,0.0,0.0,151.0,0.0,1024.0,26921111.0,2541.0,4375.0,44583.0,64.0,1024.0,26.89,0.0,0.0,0.9992,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=true/workers=2,3604344.0,3922.0,1024.0,0.0,0.0,151.0,0.0,1024.0,25539528.0,2583.0,5208.0,49750.0,64.0,1024.0,25.52,0.0,0.0,0.9903,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=true/workers=4,4632824.0,3972.0,1024.0,0.0,0.0,151.0,0.0,1024.0,18903764.0,2458.0,19250.0,48750.0,64.0,1024.0,18.88,0.0,0.0,0.9351,0.0,0.0,0.0
after,writable-hits=50/warm=false/delayed=false/workers=1,2219704.0,3871.0,512.0,1094051.0,36.0,114.0,55.0,1024.0,13595069.0,2500.0,3542.0,35792.0,64.0,512.0,13.57,1641191.0,55.0,0.9985,512.0,547140.0,19.0
after,writable-hits=50/warm=false/delayed=false/workers=2,3268621.0,4078.0,512.0,1800255.0,58.33,117.7,92.67,1024.0,12842750.0,1834.0,2750.0,29708.0,64.0,512.0,12.82,2816200.0,92.67,0.9859,512.0,1038727.0,35.33
after,writable-hits=50/warm=false/delayed=false/workers=4,3512184.0,4190.0,512.0,1852225.0,59.67,139.3,91.33,1024.0,12557972.0,2500.0,3792.0,43833.0,64.0,512.0,12.54,2731233.0,91.33,0.8083,512.0,953482.0,33.33
after,writable-hits=50/warm=false/delayed=true/workers=1,2623714.0,3886.0,512.0,1094051.0,36.0,114.0,55.0,1024.0,17702083.0,3125.0,3791.0,37750.0,64.0,512.0,17.68,1641191.0,55.0,0.9989,512.0,547140.0,19.0
after,writable-hits=50/warm=false/delayed=true/workers=2,3244389.0,4065.0,512.0,2102110.0,68.33,105.7,104.7,1024.0,16501667.0,2292.0,2834.0,35958.0,64.0,512.0,16.48,3172881.0,104.7,0.9891,512.0,1070771.0,36.33
